user9933	10010	3.5
user5652	10009	4.5
user9654	10002	2.1
user5652	10007	2.1
user5652	10008	2.3
user9654	10004	4.1
user5652	10005	3.0
user9654	10005	1.9
user9654	10006	2.6
user3651	10009	2.2
user3651	10004	1.4
user3651	10005	3.8
user3651	10006	0.4
user474	10006	4.5
user3372	10001	3.2
user474	10005	0.8
user3372	10003	3.0
user3372	10004	2.1
user474	10003	1.9
user3372	10005	0.1
user3372	10006	4.1
user3372	10007	3.7
user9933	10007	3.6
user9933	10008	1.3
user9933	10003	4.7
user9933	10004	5.0
user7374	10005	0.9
user7374	10003	3.0
user7374	10008	0.1
user7374	10009	3.1
user7374	10007	2.3
user5931	10004	3.0
user5931	10002	0.5
user5931	10008	0.3
user7374	10001	4.5
user474	10008	4.9
user5931	10005	3.5
user5931	10006	4.5
user1092	10005	0.6
user102	10003	3.3
user1092	10003	0.6
user102	10005	2.0
user1092	10004	2.1
user1092	10009	4.1
user5931	10010	0.2
user1092	10007	3.2
user102	10001	1.1
user1092	10008	0.5
user1092	10001	1.9
user6076	10002	5.0
user6076	10003	4.7
user6076	10004	3.7
user6076	10005	0.2
user6076	10007	3.5
user6355	10010	2.8
user6950	10002	1.3
user6950	10003	1.1
user6076	10009	0.6
user6950	10004	3.8
user7374	10010	1.4
user6355	10007	4.4
user6355	10009	2.5
user1092	10010	1.1
user9933	10002	0.8
user6076	10010	3.3
user6355	10003	1.0
user6355	10004	3.5
user6950	10010	0.6
user6950	10005	4.2
user3651	10002	3.2
user3651	10003	4.4
user6950	10008	3.4
user5652	10003	3.7
user9654	10007	1.0
user5652	10004	4.4
user9654	10008	1.0
user5652	10001	2.8
user3372	10010	0.1
user2459	10009	0.3
user2459	10005	1.4
user2459	10006	5.0
user2390	10007	4.5
user2459	10001	2.5
user2390	10008	2.9
user2390	10009	2.4
user2459	10003	1.6
user2459	10004	0.2
user2390	10005	0.8
user2911	10010	4.4
user6392	10003	1.6
user6392	10004	2.1
user6392	10001	1.5
user6913	10009	1.9
user6913	10007	2.8
user6913	10004	2.6
user8300	10002	3.3
user6913	10005	0.5
user6913	10002	3.7
user6913	10003	4.9
user8300	10001	1.8
user2353	10002	4.0
user6392	10007	1.3
user2353	10003	0.5
user6392	10008	3.7
user8300	10007	0.8
user6392	10005	2.5
user8300	10004	3.2
user2353	10001	4.8
user8300	10005	4.3
user2390	10010	0.1
user2353	10004	4.6
user2353	10005	1.9
user2353	10010	3.2
user7337	10003	1.4
